Row_Labels,Count_AnimalName
BELLA,112
LUCY,82
MAX,82
BUDDY,79
SADIE,77
DAISY,66
CHARLIE,64
GINGER,60
MOLLY,60
BAILEY,58
JACK,57
LILY,55
ROXY,50
ABBY,49
LUNA,49
ROCKY,49
COOPER,48
MAGGIE,48
BEAR,47
DUKE,45
WILLOW,45
KENAI,44
DENALI,43
SHADOW,41
RILEY,40
CHLOE,39
HARLEY,38
COCO,37
LOKI,37
SOPHIE,36
JAKE,35
KODA,35
RUBY,35
TOBY,35
LUCKY,34
BANDIT,33
LOLA,33
LADY,32
ROSIE,32
TUCKER,30
GRACIE,29
SAM,29
PEPPER,28
PIPER,28
ZOEY,28
DIESEL,27
KODIAK,27
BENTLEY,26
STELLA,26
CODY,25
DAKOTA,25
GUS,25
KONA,25
MISSY,25
MURPHY,25
BLUE,24
JASPER,24
KISKA,24
PENNY,24
SASHA,24
MARLEY,23
OSCAR,23
ANNIE,22
EMMA,22
LILLY,22
RUGER,22
YUKON,22
ZOE,22
BELLE,21
MOCHA,21
OLIVER,21
SAMMY,21
ATHENA,20
BUSTER,20
FINN,20
RAVEN,20
SCOUT,20
KATIE,19
MILO,19
MINNIE,19
NALA,19
PRINCESS,19
RANGER,19
SUGAR,19
WINSTON,19
ZEUS,19
COPPER,18
ELLIE,18
FRANKIE,18
GEORGE,18
GUNNER,18
HENRY,18
CHANCE,17
DEXTER,17
MOOSE,17
SPARKY,17
THOR,17
TITAN,17
AURORA,16
HUNTER,16
JACKSON,16
JAX,16
LEXI,16
MICKEY,16
PEANUT,16
TEDDY,16
ANGEL,15
BAXTER,15
DOZER,15
HOLLY,15
LEO,15
TANK,15
TAZ,15
IZZY,14
JASMINE,14
KING,14
LULU,14
MADDIE,14
MIA,14
OTIS,14
POPPY,14
ROSCOE,14
SAMPSON,14
SCOOTER,14
APOLLO,13
COCOA,13
DESHKA,13
GIZMO,13
HAZEL,13
KOBUK,13
LOUIE,13
MCKINLEY,13
MISTY,13
RIVER,13
SANDY,13
SPIKE,13
SUNNY,13
XENA,13
BABY,12
BO,12
CALLIE,12
CHENA,12
OLIVE,12
ROXIE,12
RYDER,12
SMOKEY,12
BOO,11
BOOMER,11
BRODY,11
BRUTUS,11
BUBBA,11
CALI,11
CASH,11
CHEWY,11
JUNO,11
LUKE,11
MILLIE,11
MOJO,11
OREO,11
PHOEBE,11
RIPLEY,11
SALLY,11
SNICKERS,11
WRIGLEY,11
ZEKE,11
ALLIE,10
ANGUS,10
CHASE,10
COSMO,10
DIXIE,10
HONEY,10
HOPE,10
KARMA,10
MAXIMUS,10
MAYA,10
NELLIE,10
ODIN,10
OLLIE,10
ONYX,10
PATCHES,10
PORTER,10
PRINCE,10
ROMEO,10
RUDY,10
SHEBA,10
SNOOPY,10
STORMY,10
SYDNEY,10
ZIGGY,10
ACE,9
BEAU,9
BENNY,9
CASEY,9
CLEO,9
COOKIE,9
DALLAS,9
DIAMOND,9
DUSTY,9
FRITZ,9
HANK,9
HEIDI,9
HERCULES,9
HOMER,9
JADE,9
KINLEY,9
KOA,9
LAYLA,9
MADDY,9
MIDNIGHT,9
ROCCO,9
RUFUS,9
RUSTY,9
SARGE,9
SIERRA,9
SIMBA,9
SITKA,9
STAR,9
TRIGGER,9
TYSON,9
ARCHIE,8
BRUCE,8
BRUNO,8
CHAMP,8
CINNAMON,8
DOC,8
ELLA,8
GRACE,8
GRIZZLY,8
ISIS,8
JOEY,8
KAI,8
MISHKA,8
NOVA,8
OAKLEY,8
ODIE,8
OLAF,8
REX,8
RIO,8
ROSE,8
SAMANTHA,8
TILLY,8
WILLIE,8
ABBEY,7
ASPEN,7
BANJO,7
BRANDY,7
BRODIE,7
CEDAR,7
CHICO,7
CHIEF,7
CHINOOK,7
DELILAH,7
EDDIE,7
ELSA,7
ELVIS,7
EVA,7
GIGI,7
GRETA,7
HANNAH,7
JESSIE,7
JOE,7
JOSIE,7
JOY,7
KALI,7
KAYA,7
KOBE,7
LACEY,7
MACY,7
MASON,7
MATTIE,7
NINA,7
NUGGET,7
PARKER,7
PRECIOUS,7
REBEL,7
RED,7
REGGIE,7
REMINGTON,7
ROO,7
SAMSON,7
SARAH,7
SASSY,7
SKYE,7
STANLEY,7
TIMBER,7
TINY,7
TRAPPER,7
TROOPER,7
YUKI,7
AMBER,6
ANNA,6
ATLAS,6
BENJI,6
BERNIE,6
BETTY,6
BLAZE,6
BODHI,6
BOLT,6
BONNIE,6
BRADY,6
BRISTOL,6
BUCK,6
BUTTERS,6
CAPTAIN,6
CASSIE,6
CHICA,6
CLYDE,6
COMET,6
CRICKET,6
DAISY MAE,6
DAPHNE,6
DOLLY,6
DRAKE,6
DUTCHESS,6
FANCY,6
FRECKLES,6
FREYA,6
GABBY,6
IVY,6
JAZZ,6
KAISER,6
KIKI,6
KIMBER,6
LEIA,6
LENA,6
LENNY,6
LOGAN,6
MAC,6
MACK,6
MADISON,6
MOE,6
NIKKI,6
NYX,6
PACO,6
PANDA,6
PENELOPE,6
PETE,6
PIXIE,6
PONCHO,6
RAMBO,6
RASCAL,6
REMI,6
REMY,6
ROLO,6
ROXI,6
SABLE,6
SCRAPPY,6
SHELBY,6
TIA,6
TIGGER,6
TINKERBELL,6
TUNDRA,6
WINNIE,6
WYATT,6
ABBIE,5
ABIGAIL,5
AJAX,5
ANDY,5
AUTUMN,5
AXEL,5
BARLEY,5
BEN,5
BINGO,5
BOBBY,5
BORIS,5
BOWSER,5
BROWNIE,5
BUZZ,5
CASPER,5
CEASAR,5
CHARLEY,5
CHIP,5
COLE,5
COWBOY,5
DAISEY,5
DASH,5
DAWSON,5
DAX,5
DEUCE,5
DIEGO,5
DIGGER,5
DUTCH,5
FIONA,5
FOXY,5
GEMMA,5
GIDGET,5
GINNY,5
GYPSY,5
HARPER,5
INDY,5
KIRA,5
KITA,5
LIZZIE,5
MACKENZIE,5
MAISY,5
MAPLE,5
MOXIE,5
MYA,5
NANOOK,5
NIKO,5
OBI,5
OLIVIA,5
OZZY,5
PAISLEY,5
PAPI,5
PEACHES,5
PEARL,5
PEBBLES,5
RADAR,5
RINGO,5
ROSCO,5
ROWDY,5
SAMMIE,5
SEAMUS,5
SHERMAN,5
SIDNEY,5
SIMON,5
SKIPPY,5
SOPHIA,5
TASHA,5
TONKA,5
TORI,5
TRIXIE,5
TROY,5
TUFFY,5
VIOLET,5
WATSON,5
YODA,5
ZIVA,5
ZORRO,5
ZUES,5
ADAK,4
ALICE,4
ALYESKA,4
APRIL,4
ATTU,4
AUGGIE,4
AVA,4
AXLE,4
AYLA,4
BABE,4
BARKLEY,4
BARON,4
BLIZZARD,4
BOB,4
BOSS,4
BROOKS,4
CAESAR,4
CHAI,4
CHEVY,4
CHEWIE,4
CHINO,4
CINDER,4
COHO,4
COLBY,4
COLT,4
CRUISER,4
DJ,4
DORY,4
DOUGLAS,4
ECHO,4
ELI,4
EMMY,4
ENZO,4
FINLEY,4
FRANK,4
FRANKLIN,4
FRED,4
GOOSE,4
GUCCI,4
HOWIE,4
HUCK,4
INDIE,4
IVAN,4
JAGER,4
JAXON,4
JENNY,4
JESSE,4
JOJO,4
KANE,4
KAYLEE,4
KEENA,4
KIERA,4
KIWI,4
KNIK,4
KODI,4
KODY,4
LEXIE,4
LIBERTY,4
LILA,4
LINCOLN,4
LYLA,4
MAE,4
MAJOR,4
MANDY,4
MARY,4
MATILDA,4
MCKENZIE,4
MERLIN,4
MILA,4
MIMI,4
MISHA,4
MISKA,4
MISTER,4
MOKI,4
MOLLIE,4
MORGAN,4
NAHLA,4
NIKE,4
NORMAN,4
OPIE,4
OTTO,4
OZZIE,4
PATCH,4
PAXSON,4
PETEY,4
PIPPIN,4
PJ,4
POLLY,4
QUINN,4
RENO,4
ROGER,4
ROGUE,4
ROSEY,4
RUPERT,4
SAGE,4
SAWYER,4
SCOOBY,4
SCRUFFY,4
SCULLY,4
SHADY,4
SKEETER,4
SKIPPER,4
SKY,4
SNOWBALL,4
SOLO,4
SOX,4
SPICE,4
STEVE,4
SUKA,4
SUKI,4
SUMMIT,4
SUNSHINE,4
TAZLINA,4
TESS,4
TESSA,4
THEO,4
TIKAANI,4
TINK,4
TITUS,4
TOK,4
TOTO,4
TROUBLE,4
TRUDY,4
TUX,4
TY,4
WILLA,4
WINTER,4
WRANGELL,4
YOSHI,4
ZELDA,4
ZENA,4
ZEPHYR,4
ACHILLES,3
AKIRA,3
ARES,3
ARLO,3
ARROW,3
ASHA,3
ATIGUN,3
ATKA,3
ATTICUS,3
AUSTIN,3
BABY GIRL,3
BAM BAM,3
BAUER,3
BAYLEE,3
BEA,3
BEAN,3
BEAUX,3
BEBE,3
BENELLI,3
BENNIE,3
BETSY,3
BLACKIE,3
BLANCA,3
BOGEY,3
BOONE,3
BOULDER,3
BREE,3
BUCKY,3
BUD,3
BULLET,3
BUTCH,3
BUTTERCUP,3
CAPONE,3
CASPIAN,3
CECE,3
CHAOS,3
CHARLI,3
CHESTER,3
CHEYENNE,3
CHILI,3
CHOPPER,3
CHULI,3
CINDY,3
CLOVER,3
COAL,3
CONNOR,3
CUJO,3
DANTE,3
DARBY,3
DIVA,3
DJANGO,3
DOBBY,3
DOMINO,3
DORA,3
DOT,3
DRACO,3
DUALLY,3
DUCHESS,3
DUFFY,3
DUNCAN,3
DYLAN,3
ESKA,3
FARLEY,3
FELIX,3
FIFI,3
FINNEGAN,3
FLETCHER,3
FORREST,3
FREDDIE,3
FRODO,3
GABY,3
GERTIE,3
GHOST,3
GLORY,3
GOLDIE,3
GOLIATH,3
GOOFY,3
GRIFFIN,3
HAILEY,3
HALO,3
HAPPY,3
HARLOW,3
HARVEY,3
HATCHER,3
HERBIE,3
HERSHEY,3
HOBBS,3
HOOPER,3
HOOVER,3
HOSS,3
HUGO,3
IRIS,3
ISABELLA,3
ISABELLE,3
JACKIE,3
JAZMINE,3
JAZZY,3
JEDI,3
JETHRO,3
JEWELS,3
JIMMY,3
JJ,3
JOANIE,3
JOHNNY,3
JULES,3
JULIE,3
JUNE,3
JUPITER,3
KAHN,3
KASH,3
KATE,3
KC,3
KELLY,3
KENZIE,3
KETA,3
KHLOE,3
KILO,3
KOKO,3
KOTA,3
KRAMER,3
LANEY,3
LEILA,3
LEVI,3
LEXUS,3
LIAM,3
LINK,3
LITTLE BEAR,3
LITTLE BIT,3
LIZZY,3
LUCAS,3
LUKA,3
MABEL,3
MAGGIE MAE,3
MAGPIE,3
MAIZY,3
MALI,3
MARIO,3
MARLEE,3
MARY JANE,3
MAVERICK,3
MAXWELL,3
MERCEDES,3
MICK,3
MIKA,3
MIKE,3
MIKEY,3
MILES,3
MILEY,3
MILLY,3
MINDI,3
MINION,3
MINKA,3
MJ,3
MUFFIN,3
MURRAY,3
NELCHINA,3
NEMO,3
NICKI,3
NUTMEG,3
OBIWAN,3
OLY,3
OMAR,3
PARIS,3
PATTON,3
PERCY,3
PETER,3
PIXEL,3
POGO,3
QUEEN,3
QUEENIE,3
RAGNAR,3
RAIDER,3
RASTA,3
RICKY,3
ROBBY,3
ROCKET,3
ROMAN,3
RONAN,3
RUE,3
RYLIE,3
SABBATH,3
SARA,3
SEBASTIAN,3
SEDONA,3
SHANE,3
SHILOH,3
SKIFF,3
SKYLAR,3
SONNY,3
SPENCER,3
SPOT,3
SPROCKET,3
STORM,3
SUMMER,3
SUSIE,3
SWEET PEA,3
SWEETIE,3
TAYLOR,3
TEEKA,3
TESLA,3
THUMPER,3
TINA,3
TITO,3
TRINITY,3
TUESDAY,3
TUG,3
TURBO,3
TUULI,3
TYRONE,3
WALLY,3
WILEY,3
WOODY,3
ZEEK,3
ZEVA,3
ZIPPO,3
ABERLOUR,2
AGNES,2
AJ,2
AK,2
ALI,2
ALLIE GIRL,2
ALY,2
AMERICA,2
AMMO,2
AMOS,2
AMY,2
ANAKIN,2
ANIAK,2
ANNI,2
ANUBIS,2
APU,2
ARCTIC,2
ARGUS,2
ARIEL,2
ARIES,2
ARMANI,2
ARNOLD,2
ARTEMIS,2
ARTHUR,2
ARYA,2
ASH,2
ASTRO,2
ATREYU,2
AUGIE,2
AUSSIE,2
AVERY,2
AXL,2
AZUL,2
BALOO,2
BALTO,2
BAMBI,2
BARNEY,2
BATMAN,2
BEAMER,2
BEANIE,2
BEANS,2
BEAST,2
BEAUFORT,2
BEAUTY,2
BECKHAM,2
BELL,2
BEORN,2
BEOWULF,2
BERGERON,2
BERNADETTE,2
BERT,2
BETTY BOOP,2
BIGGS,2
BILLY,2
BING,2
BINO,2
BISCUIT,2
BJORN,2
BLACK JACK,2
BLACKJACK,2
BLESSING,2
BLITZ,2
BLOSSOM,2
BLU,2
BOBO,2
BODE,2
BODIE,2
BOJANGLES,2
BOMBER,2
BONES,2
BOOGER,2
BOOGIE,2
BOOTS,2
BOOTSIE,2
BOSCO,2
BOSTON,2
BOZER,2
BRANDI,2
BRAUTWURST,2
BREEZE,2
BREWSKI,2
BRIAN,2
BRIO,2
BRIX,2
BROCK,2
BRONX,2
BROOK,2
BRUISER,2
BRUZER,2
BUBBLES,2
BUDDIE,2
BUG,2
BULLSEYE,2
BUNNY,2
BURTON,2
BUSHIDO,2
BUSTER BROWN,2
BUTTONS,2
CABO,2
CAESER,2
CAMI,2
CANDY,2
CARAMEL,2
CARRIE,2
CECIL,2
CESAR,2
CHACO,2
CHARLOTTE,2
CHAZ,2
CHELSEA,2
CHEWBACCA,2
CHIBI,2
CHIQUITA,2
CHUBBS,2
CHUCHO,2
CISCO,2
CLAIRE,2
CLAY,2
CLEOPATRA,2
CLIFFORD,2
COCHISE,2
CORA,2
CORDELIA,2
CORKY,2
COTTON,2
COUGAR,2
CROSBY,2
CRYSTAL,2
CUDDLES,2
CUPCAKE,2
D.O.G.,2
DAGAN,2
DAISY DUKE,2
DAISY MAY,2
DANGER,2
DANNY,2
DARLA,2
DEBO,2
DECLAN,2
DEE DEE,2
DEEDEE,2
DEISEL,2
DEL,2
DEWEY,2
DHARMA,2
DILLON,2
DINGO,2
DIVER,2
DIZZY,2
DODGER,2
DOJA,2
DOOBEY,2
DOODLE,2
DOOLEY,2
DORI,2
DOTTIE,2
DOUG,2
DRAGON,2
DUDE,2
DUDLEY,2
DUGAN,2
DYSON,2
EARL,2
EASTON,2
EBONY,2
EDISON,2
EDWARD,2
EIN,2
EINSTEIN,2
ELIAS,2
ELIOT,2
EMBER,2
EMMETT,2
EMMITT,2
ERIS,2
EVE,2
FALCO,2
FENWAY,2
FERDINAND,2
FERGUS,2
FERN,2
FIN,2
FISHER,2
FLEURY,2
FLIP,2
FLOPPY,2
FLOWER,2
FLOYD,2
FLYNN,2
FOSTER,2
FREEDOM,2
FREYJA,2
FURY,2
GAGE,2
GALENA,2
GAUGE,2
GEORGIA,2
GIDEON,2
GIMLI,2
GOOBER,2
GOOMBA,2
GOUDA,2
GRIZLEE,2
GRIZZ,2
GROMIT,2
GUINESS,2
GUMBO,2
GUNNAR,2
GUSSY,2
HAMISH,2
HANNA,2
HANS,2
HARMONY,2
HAROLD,2
HARRY,2
HEALY,2
HEATHER,2
HECTOR,2
HEFF,2
HEMI,2
HENDRIX,2
HERO,2
HOBBES,2
HONDO,2
HONEY BEAR,2
HOOCH,2
HUCKLEBERRY,2
HUDSON,2
HUNNY,2
HURLEY,2
ICHIGO,2
ICY,2
IGGY,2
IKE,2
ISABEL,2
ISADORA,2
JADA,2
JADEN,2
JAEGER,2
JANGO,2
JAXX,2
JD,2
JEB,2
JET,2
JETER,2
JETT,2
JEWEL,2
JEZEBEL,2
JILL,2
JINGLE,2
JODIE,2
JOLIE,2
JORDAN,2
JOSEPHINE,2
JUBILEE,2
JUDGE,2
JUDY,2
JUICE,2
JUJU,2
JUNE BUG,2
JUNEAU,2
KAIBAB,2
KANANI,2
KANYE,2
KASHI,2
KATY,2
KAVA,2
KEELY,2
KEENEYE,2
KEETNA,2
KEIRA,2
KENJI,2
KENZI,2
KIA,2
KIEFER,2
KIJIK,2
KIKO,2
KILLER,2
KINGSTON,2
KIPPER,2
KIRBY,2
KISMET,2
KIT,2
KITTY,2
KIYAH,2
KNUCKLES,2
KO,2
KOBA,2
KODIE,2
KOKOA,2
KOOPER,2
KOVU,2
KRYSTAL,2
KUKUI,2
LACY,2
LADY BUG,2
LAILA,2
LAKOTA,2
LANA,2
LANCE,2
LANI,2
LARA,2
LARRY,2
LATTE,2
LB,2
LEAH,2
LEMON,2
LEROY,2
LIBBY,2
LIL BIT,2
LILLIE,2
LINUS,2
LITTLE GIRL,2
LOUIS,2
LUCA,2
LUCY LU,2
LUIGI,2
LUPA,2
MAGNUM,2
MAIZEY,2
MARCO,2
MARCUS,2
MARIA,2
MARIAH,2
MARSHALL,2
MARTY,2
MAUI,2
MAVIS,2
MAXX,2
MAY,2
MCGEE,2
MEEKO,2
MELISSA,2
MELODY,2
MERCY,2
MERIDA,2
MERLE,2
MIKI,2
MINER,2
MINI,2
MINNOW,2
MIRA,2
MOBY,2
MONGO,2
MONKEY,2
MONTY,2
MOO,2
MOSES,2
MURPH,2
MUSHU,2
NACHO,2
NADIA,2
NALI,2
NAPOLEON,2
NEKO,2
NENA,2
NEO,2
NICO,2
NIKA,2
NIKITA,2
NIKOLAI,2
NILES,2
NINER,2
NINJA,2
NOAH,2
NOODLE,2
NOODLES,2
NORA,2
NORM,2
NORTH,2
NUKA,2
NUKKA,2
NYLA,2
O'MALLEY,2
OLIE,2
OLLY,2
ORCA,2
ORVIS,2
OSA,2
OSWIN,2
PABLO,2
PALIN,2
PALMER,2
PAPA,2
PATIENCE,2
PATSY,2
PEDRO,2
PEGGY,2
PEPITO,2
PERRY,2
PIE,2
PIKA,2
PIKACHU,2
PILOT,2
PIPPEN,2
PIPPI,2
PIPPY,2
PITA,2
POCKET,2
POLAR,2
POLAR BEAR,2
POLARIS,2
POOH BEAR,2
POOKIE,2
PRIM,2
PRISSY,2
PRUDHOE,2
PUCK,2
PUDDIN,2
PUPPY,2
RACHEL,2
RALEIGH,2
RALPH,2
RAMONA,2
RAMSEY,2
REBA,2
RED DOG,2
REKA,2
REMUS,2
RICHTER,2
RIGBY,2
RJ,2
ROCKEY,2
ROCKO,2
ROHN,2
ROLLY,2
ROMA,2
ROSEMARY,2
ROSY,2
ROVER,2
ROWDEY,2
RUSSELL,2
RYKER,2
SAILOR,2
SAKARI,2
SALEM,2
SALTY,2
SAMMI,2
SAVANNAH,2
SCAMP,2
SCARLET,2
SCARLETT,2
SCHNITZEL,2
SCHOONER,2
SEQUOIA,2
SHAE,2
SHAKESPEARE,2
SHASTA,2
SHAYLA,2
SHEA,2
SHEEBA,2
SHELDON,2
SHELLY,2
SHOOTER,2
SHORTY,2
SHREDDER,2
SID,2
SIPSEY,2
SIRI,2
SIRIUS,2
SISCO,2
SITA,2
SKIP,2
SLATER,2
SMOKIE,2
SNOOP,2
SNOW,2
SNOWY,2
SOFIE,2
SOLDIER,2
SOLSTICE,2
SPANKY,2
SPEC,2
SPEEDY,2
SPIRIT,2
SPOCK,2
SPOOK,2
SPRING,2
SQUIRT,2
STITCH,2
SULLY,2
SUSHI,2
SUSITNA,2
SUZIE,2
SVEN,2
TACO,2
TALI,2
TALLULAH,2
TANGO,2
TANNER,2
TATER,2
TAZER,2
TEGAN,2
THEODORE,2
THUNDER,2
TIGER,2
TIKKA,2
TILLIE,2
TIPPY,2
TOA,2
TOBEY,2
TOBI,2
TOBIAS,2
TOBLERONE,2
TOMMY,2
TONKS,2
TONTO,2
TOSCA,2
TRITON,2
TRON,2
TROUT,2
TT,2
TUT,2
TWIGGY,2
TWINKIE,2
TYE,2
TYGA,2
VADER,2
VAN,2
VENUS,2
VIENNA,2
VINNIE,2
WALDO,2
WEDNESDAY,2
WHISKEY,2
WHISPER,2
WHITEY,2
WICKET,2
WIGGLES,2
WILLIS,2
WILSON,2
WINCHESTER,2
WIZARD,2
WOLFIE,2
XANDER,2
YAGER,2
YOGI,2
YONA,2
ZACK,2
ZANDER,2
ZERO,2
ZOOM,2
ZORA,2
ZORBA,2
3 OF HEARTS,1
A-LIEN,1
AASA,1
ABBI,1
ABE,1
ABEL,1
ABI,1
ABIGALE,1
ABLE,1
ACER,1
ADA,1
ADAM,1
ADDIE,1
ADDIE MAE,1
ADDY,1
ADELAIDE,1
ADELE,1
ADELYN,1
ADRIAN,1
AEON,1
AGLU,1
AHSOKA,1
AIKO,1
AIMIE,1
AIOFA,1
AJAXX,1
AKASHA,1
AKEELA,1
AKI,1
AKILA,1
AKITO,1
AKUTAN,1
ALAKANUK,1
ALARIC,1
ALASKA,1
ALBA,1
ALBUS,1
ALDER,1
ALEUTIA,1
ALEX,1
ALEX BARRY,1
ALEXIS,1
ALEXXEE,1
ALEYESKA,1
ALFIE,1
ALI BABA,1
ALIANA,1
ALICA,1
ALIE,1
ALIY,1
ALLEY,1
ALLI,1
ALLY MAY,1
ALMOND ROCA,1
ALPHA,1
ALPINE,1
ALTA,1
ALVIN,1
AMADEUS,1
AMAK,1
AMBERLEE,1
AMBERLYN,1
AMBUSH,1
AMEER,1
AMELIA,1
AMELIA GREEN,1
AMICO,1
AMIGO,1
AMIRA,1
ANCHOR,1
ANDRE,1
ANES,1
ANGELINA,1
ANGIE,1
ANIA,1
ANIOT,1
ANNABELL,1
ANNABELLA,1
ANNABELLA  E,1
ANNABELLE,1
ANNAPURNA,1
ANNIE BELLE,1
ANOWIK,1
ANTHONY CRIT,1
ANYA,1
APHRODITE,1
APOLO OHNO,1
APPA,1
APPLE,1
ARBELL,1
ARCHER,1
ARCHIE E.,1
ARDBEG,1
AREC,1
ARETE,1
AREZ,1
ARGOS,1
ARHI,1
ARI,1
ARIE,1
ARISTOTLE,1
ARIYANA,1
ARLIE,1
AROWEN,1
ARWEN,1
ARWYN,1
ARY,1
ASHLEIGH,1
ASOKA,1
ASTA,1
ASTRID,1
ATILLA,1
ATL,1
ATLANTA,1
ATOS,1
ATTA-GIRL,1
ATTIE,1
ATTLA,1
AUDI MURPHEY,1
AUGUST,1
AUGUSTUS,1
AUNE,1
AURELIA,1
AURI,1
AUSTRINGER,1
AVALANCHE,1
AXSEL,1
AXTON,1
AY JAY,1
AYA,1
AZULZ,1
B'GOSH,1
BAAN,1
BABY BOY,1
BABY BYE BYE,1
BABY DOG,1
BABYGIRL,1
